Iteration,Mean,Stdev,Run-0
0,0.132,0.0,0.132
1,1.779,0.0,1.779
2,2.345,0.0,2.345
3,2.423,0.0,2.423
4,2.431,0.0,2.431
5,2.442,0.0,2.442
6,2.479,0.0,2.479
7,2.476,0.0,2.476
8,2.502,0.0,2.502
9,2.506,0.0,2.506
10,2.51,0.0,2.51
11,2.508,0.0,2.508
12,2.51,0.0,2.51
13,2.506,0.0,2.506
14,2.52,0.0,2.52
15,2.52,0.0,2.52
16,2.52,0.0,2.52
17,2.52,0.0,2.52
18,2.52,0.0,2.52
19,2.52,0.0,2.52
20,2.52,0.0,2.52
21,2.52,0.0,2.52
22,2.52,0.0,2.52
23,2.52,0.0,2.52
24,2.52,0.0,2.52
25,2.52,0.0,2.52
26,2.52,0.0,2.52
27,2.52,0.0,2.52
28,2.52,0.0,2.52
29,2.52,0.0,2.52
