Iteration,Mean,Stdev,Run-0
0,0.8136184609508317,0.0,0.8136184609508317
1,1.0890362712049584,0.0,1.0890362712049584
2,1.1834120161634325,0.0,1.1834120161634325
3,1.4046650846376156,0.0,1.4046650846376156
4,1.567534369639148,0.0,1.567534369639148
5,1.703816598111428,0.0,1.703816598111428
6,1.773076140497074,0.0,1.773076140497074
7,1.7745058467077532,0.0,1.7745058467077532
8,1.7914773233284313,0.0,1.7914773233284313
9,1.8318416962172248,0.0,1.8318416962172248
10,1.8469163489449107,0.0,1.8469163489449107
11,1.8583968897950731,0.0,1.8583968897950731
12,1.857949138162829,0.0,1.857949138162829
13,1.85903200617956,0.0,1.85903200617956
14,1.857949138162829,0.0,1.857949138162829
15,1.874565549667442,0.0,1.874565549667442
16,1.87867612961894,0.0,1.87867612961894
17,1.8679999999999999,0.0,1.8679999999999999
18,1.860537556729237,0.0,1.860537556729237
19,1.860537556729237,0.0,1.860537556729237
20,1.8642078746749249,0.0,1.8642078746749249
21,1.8502861940791755,0.0,1.8502861940791755
22,1.8529627627127316,0.0,1.8529627627127316
23,1.8529627627127316,0.0,1.8529627627127316
24,1.8529627627127316,0.0,1.8529627627127316
25,1.8529627627127316,0.0,1.8529627627127316
26,1.8529627627127316,0.0,1.8529627627127316
27,1.8529627627127316,0.0,1.8529627627127316
28,1.8529627627127316,0.0,1.8529627627127316
29,1.8529627627127316,0.0,1.8529627627127316
