Iteration,Mean,Stdev,Run-0
0,0.032,0.0,0.032
1,1.783,0.0,1.783
2,2.372,0.0,2.372
3,2.495,0.0,2.495
4,2.532,0.0,2.532
5,2.551,0.0,2.551
6,2.567,0.0,2.567
7,2.553,0.0,2.553
8,2.532,0.0,2.532
9,2.524,0.0,2.524
10,2.521,0.0,2.521
11,2.505,0.0,2.505
12,2.491,0.0,2.491
13,2.471,0.0,2.471
14,2.46,0.0,2.46
15,2.461,0.0,2.461
16,2.441,0.0,2.441
17,2.448,0.0,2.448
18,2.449,0.0,2.449
19,2.448,0.0,2.448
20,2.442,0.0,2.442
21,2.439,0.0,2.439
22,2.44,0.0,2.44
23,2.447,0.0,2.447
24,2.438,0.0,2.438
25,2.433,0.0,2.433
26,2.426,0.0,2.426
27,2.43,0.0,2.43
28,2.434,0.0,2.434
29,2.434,0.0,2.434
30,2.434,0.0,2.434
31,2.434,0.0,2.434
32,2.434,0.0,2.434
33,2.434,0.0,2.434
34,2.434,0.0,2.434
35,2.434,0.0,2.434
36,2.434,0.0,2.434
37,2.434,0.0,2.434
38,2.434,0.0,2.434
39,2.434,0.0,2.434
40,2.434,0.0,2.434
41,2.434,0.0,2.434
42,2.434,0.0,2.434
43,2.434,0.0,2.434
44,2.434,0.0,2.434
45,2.434,0.0,2.434
46,2.434,0.0,2.434
47,2.434,0.0,2.434
48,2.434,0.0,2.434
49,2.434,0.0,2.434
