Iteration,Mean,Stdev,Run-0
0,0.2386964599653711,0.0,0.2386964599653711
1,1.0382249274603264,0.0,1.0382249274603264
2,1.7445962283577252,0.0,1.7445962283577252
3,1.8319320402241999,0.0,1.8319320402241999
4,1.8409171627208,0.0,1.8409171627208
5,1.859408239198697,0.0,1.859408239198697
6,1.8513538289586888,0.0,1.8513538289586888
7,1.8339004880309075,0.0,1.8339004880309075
8,1.8141047378803683,0.0,1.8141047378803683
9,1.7886933778599396,0.0,1.7886933778599396
10,1.7926402316136947,0.0,1.7926402316136947
11,1.775380240962482,0.0,1.775380240962482
12,1.7526890768188175,0.0,1.7526890768188175
13,1.745611354225218,0.0,1.745611354225218
14,1.7298554852934973,0.0,1.7298554852934973
15,1.7275644705770032,0.0,1.7275644705770032
16,1.7182895565067025,0.0,1.7182895565067025
17,1.734155702352012,0.0,1.734155702352012
18,1.7330317365818781,0.0,1.7330317365818781
19,1.734155702352012,0.0,1.734155702352012
20,1.7252930185913342,0.0,1.7252930185913342
21,1.7246098109427535,0.0,1.7246098109427535
22,1.7246448909848082,0.0,1.7246448909848082
23,1.7323945855376022,0.0,1.7323945855376022
24,1.7216724427137695,0.0,1.7216724427137695
25,1.7156663428534116,0.0,1.7156663428534116
26,1.7112930783474816,0.0,1.7112930783474816
27,1.7102923726661472,0.0,1.7102923726661472
28,1.709281720489633,0.0,1.709281720489633
29,1.709281720489633,0.0,1.709281720489633
