Run,Iteration,dim-0,dim-1,dim-2,dim-3,dim-4,dim-5,dim-6,dim-7,dim-8,dim-9,dim-10,dim-11,dim-12,dim-13,dim-14,dim-15,dim-16,dim-17,dim-18,dim-19,dim-20,dim-21,dim-22,dim-23,dim-24,dim-25,dim-26,dim-27,dim-28,dim-29,dim-30,dim-31,dim-32,dim-33,dim-34,dim-35,dim-36,dim-37,dim-38,dim-39,dim-40,dim-41,dim-42,dim-43,dim-44,dim-45,dim-46,dim-47,dim-48,dim-49,dim-50,dim-51,dim-52,dim-53,dim-54,dim-55,dim-56,dim-57,dim-58,dim-59,dim-60,dim-61,dim-62,dim-63,dim-64,dim-65,dim-66,dim-67,dim-68,dim-69,dim-70,dim-71,dim-72,dim-73,dim-74,dim-75,dim-76,dim-77,dim-78,dim-79,dim-80,dim-81,dim-82,dim-83,dim-84,dim-85,dim-86,dim-87,dim-88,dim-89,dim-90,dim-91,dim-92,dim-93,dim-94,dim-95,dim-96,dim-97,dim-98,dim-99,dim-100,dim-101,dim-102,dim-103,dim-104,dim-105,dim-106,dim-107,dim-108,dim-109,dim-110,dim-111,dim-112,dim-113,dim-114,dim-115,dim-116,dim-117,dim-118,dim-119,dim-120,dim-121,dim-122,dim-123,dim-124,dim-125,dim-126,dim-127,dim-128,dim-129,dim-130,dim-131,dim-132,dim-133,dim-134,dim-135,dim-136,dim-137,dim-138,dim-139,dim-140,dim-141,dim-142,dim-143
0,0,1437.4183452536647,1433.4737699738646,1421.7585904934854,1435.203345166387,1432.5814653901448,1432.8729145569334,1438.0079485866188,1432.685711583176,1378.3278818460044,1379.7632252325202,1374.7494375221515,1377.4473457087613,1380.053236768877,1375.5413118967324,1341.349283630455,1337.5317158040077,1341.8951680485063,1335.884794711659,1331.4915386561356,1337.9604145283754,1326.0700641954095,1337.393576715443,1332.9116482830398,1327.1840061637552,1324.628225604832,1329.4921144554764,1341.1275410708402,1337.72929505605,1337.7807065509646,1333.3224816729157,1416.3149358722726,1407.3466445078082,1423.7192669405845,1311.93710333395,1414.5744824946212,1313.3801115281663,1311.6550357042524,1312.132009474395,1312.1892332784907,1409.140626333129,1393.6392239652255,1407.1634912830566,1397.3465647422577,1399.860152822826,1474.2855842159483,1539.0409484255522,1575.1714559415295,1561.2398346319271,1521.796107849811,1465.65294447351,1332.6139057942337,1473.5894099705363,1518.4445451822771,1435.8519591924687,1334.5834176943429,1324.8694808492646,1439.7871466762465,1430.4897694370918,1441.65998907994,1433.5561663438634,1427.772900554496,1433.0722676692117,1440.0604345249653,1437.7731806069082,1374.2097329978671,1371.2140866025268,1382.8978634713815,1378.0857995698314,1384.4608483919214,1380.0566110014656,1334.5810562308395,1340.4892290103119,1340.4835807020388,1341.673209970471,1331.1187687343593,1323.0503578253242,1329.9592034792827,1331.7998303144432,1334.202879366459,1325.653076064342,1327.0749051430735,1334.1766879916072,1340.5997267195007,1347.0616521837728,1342.7730191887767,1337.7513232042825,1420.129292540737,1412.9072691208485,1425.9727344785028,1313.93248501726,1416.4434465955376,1315.7820948846709,1312.8806750336043,1313.4885505229613,1310.7298405015902,1410.5950600088754,1401.351320917622,1404.8548108474943,1396.1970210454338,1399.3165363463702,1472.756410587958,1533.4731740862242,1569.1066489327743,1551.2191695939346,1514.0002252568486,1471.1937180146695,1329.308188805287,1472.6611782315415,1533.1883959611673,1440.1303265123365,1341.6764749033266,1322.0863445605512,1434.8544557238613,1438.673536336829,1440.2278921097736,1436.158347864697,1442.3241964826584,1433.8261435607096,1439.3189776136085,1435.7433479694478,1375.696086544801,1376.5762928787399,1378.2773258862676,1374.626490205962,1379.4971881283932,1374.8998875008406,1337.4155493560404,1331.2869990291574,1339.2543732598206,1347.6307681452872,1334.9582170130586,1327.4290491206368,1330.4196566413796,1337.7399963922978,1330.5937042190253,1326.4744136636853,1329.5755397952778,1320.6600589292457,1346.0944925174522,1333.9101928422265,1344.9128150299573,1347.6442271564233,1410.0290301295008,1408.3027193558235
0,1,1395.9447515276972,1394.9577061442415,1394.1408549021085,1387.8434892163993,1390.3182182910846,1399.6306118837456,1398.47638691097,1395.5168876256396,1383.3754610306887,1395.9731849162788,1385.912790943729,1377.0869395450222,1388.6962616512496,1384.7359729024263,1378.6282765090746,1384.6568678865906,1380.6943327722797,1376.6784327711582,1380.487238589127,1380.7734953886763,1370.9744148908426,1382.3695070167848,1384.2417089327455,1377.7209268927961,1378.5644743636308,1377.6719768522687,1373.7766039267212,1379.9685568118125,1381.312340515754,1378.7646490840252,1384.103114008168,1379.5710056693745,1391.5809769050938,1380.42439482207,1393.5982537950802,1367.2350543114921,1376.168670133334,1376.2973106866646,1378.4076548541348,1394.7330961147443,1378.4626972609049,1394.1448143718649,1399.3192165487128,1383.0177621221944,1404.5774899873961,1404.241678103828,1414.945392613147,1417.6473694871718,1413.1080722503766,1406.1569560359692,1386.248323401641,1411.1980642649053,1409.6184766311505,1400.48096839699,1379.1498743103048,1376.7904163099502,1395.3267663097868,1393.6673951856585,1398.9758896808064,1391.881328263075,1392.7130582344498,1391.1851315689814,1394.0631778247748,1389.9915785282085,1391.3951103913369,1390.510443394676,1385.952628054965,1382.3331610740745,1386.117378384792,1388.4947992600733,1379.4416044634256,1373.892771995439,1373.2828280114009,1383.82840686684,1372.3823192329392,1379.0977178624378,1381.3949710204533,1381.8396755166389,1378.4250151769131,1374.8409547435692,1380.834350001309,1375.7307847565194,1383.4961712019424,1380.0297982611874,1382.4396802302936,1381.095026376936,1385.7323220059088,1378.9913526926227,1398.6104314048425,1377.4935105782945,1388.9846115187881,1380.239652551339,1369.083524271573,1374.212008056038,1372.7896096418674,1382.1254495979044,1392.666948685843,1390.3103826958409,1388.2186814652496,1391.8300360479186,1399.7297524519608,1410.5897455652955,1413.748826568951,1399.1893078614062,1409.2907626554827,1399.8915934291247,1374.2581406557058,1398.1304878414094,1409.765987531472,1398.2513362364518,1381.2744357026193,1376.6171774003749,1395.9255321893704,1402.8408303381386,1383.3009920585978,1390.6736451199451,1389.362250288425,1391.1855686962112,1387.2359777670665,1390.406343035631,1379.2961080472046,1386.0817414679152,1381.6315014388674,1386.925221659097,1390.6971634465508,1381.7140658176597,1376.4028706027568,1383.8187699933692,1380.9039940531975,1387.5125379786505,1379.2350160489912,1388.9523723350708,1378.6183334387486,1377.476727620787,1379.2708218470689,1383.0944283349706,1386.3377260257478,1379.6562868344386,1384.1254136339332,1371.2520073895112,1381.9568816707456,1389.9384239991991,1389.1341845031907,1386.3640906357598
0,2,1390.9250936292815,1391.2134709893687,1386.2241243048584,1389.2161824729967,1384.2531429985904,1392.842028692528,1389.5806820120074,1383.6270065126444,1388.9622362869295,1386.6738816815391,1388.757216604848,1387.1099871675553,1388.2504417529701,1391.7467501129274,1386.2838482736897,1386.0945523015018,1390.6963524190526,1381.2292120671973,1386.0770454814265,1387.8906654743141,1380.373662039851,1384.6353576671747,1384.0291023252344,1382.3944765724973,1383.6942283019516,1388.2377663453333,1381.8072713580723,1381.4930418254212,1384.4253569318082,1385.612964918006,1381.7519741596866,1382.6370914724293,1392.1527497877382,1387.081599947863,1383.552799313499,1378.3415954950028,1387.4441291177898,1384.247933531804,1382.6694246832044,1390.7837000020936,1383.5310446423532,1392.5136362068715,1385.7537914040583,1387.031196767271,1387.4296540034081,1390.0601166353,1390.7623353678948,1398.0096304967467,1391.9967472924836,1390.3244040025272,1389.4416180459584,1391.2043286931496,1386.9055765471157,1386.7567448426494,1389.002365896009,1385.86141956025,1389.8979458191511,1386.6672916254172,1388.722135237039,1387.1793437717258,1388.092718266576,1387.8732872804228,1389.6875158005078,1387.0431644760008,1387.3849059158274,1385.3888102479902,1390.3797125336791,1393.7791708007057,1386.8963036967393,1387.8235195381944,1382.8047723085658,1385.0240148885075,1382.528499052143,1384.3918917068468,1380.7676636386304,1388.098100643091,1384.616334061624,1385.536006043529,1386.5227085378451,1383.613418321852,1387.5059707031016,1391.6368551553085,1384.873018613922,1384.25141091092,1382.1963649745578,1382.6553706131197,1386.184010058996,1390.6928818202719,1388.3125028079544,1386.2428798576661,1388.035753591108,1382.923865744359,1388.8060091562754,1389.6525742556653,1388.3410606805146,1388.6303690933391,1382.8532250577443,1388.501200162761,1379.5775276166735,1386.8360185333192,1385.8846356917309,1393.4232981126893,1389.2912075310078,1391.6899525709282,1390.7442726931356,1379.7406140889059,1383.0642716937489,1389.516337067384,1393.4067931233817,1389.6193142844998,1384.9275350815317,1385.8541983421896,1393.4423548172224,1391.041835215458,1390.7369771739573,1388.674078593385,1391.4404890922033,1391.1462642170475,1389.411738740512,1391.1952849970153,1384.8787490425184,1384.7397690007176,1382.7028004680426,1383.9211242237307,1389.659192553692,1389.2289006009894,1383.982184537596,1383.9904181455586,1393.1605049144273,1383.597089610546,1380.8166620756108,1385.30822767811,1383.7807261227836,1389.1342791900045,1389.147789537079,1382.9594712591274,1381.9497901016045,1386.3330731156923,1390.9678501075032,1386.3137651571017,1393.016784030386,1388.3017412672252,1392.1077498618436,1383.8512926104934
0,3,1387.5362499285375,1388.873857824462,1389.7452357653772,1389.6104004379304,1386.3389746027847,1388.7141082279832,1391.1904585584064,1392.4117701101336,1384.5704283439763,1389.3726484311405,1386.2406543222394,1388.2118789637832,1389.099911661455,1390.1023558877646,1383.8270392673826,1387.002684920792,1387.1339309129094,1386.738013348758,1383.473966571627,1385.3069757279059,1386.356190811176,1390.6615061341413,1388.579122009925,1384.320448923576,1383.4260311395597,1388.968553252495,1385.4360354156022,1384.0516635230558,1385.051025879428,1388.887151565531,1386.7495859460416,1386.6645894928981,1389.5875626060085,1390.5206771964326,1390.3997715434368,1381.511641712899,1386.137408805342,1385.6578106590628,1384.0124857863316,1389.1384099289032,1385.3812397675506,1387.158873059398,1386.4162765455403,1385.4970296872432,1390.4506455903122,1388.2652078201995,1387.5510706342689,1391.6413635153606,1391.9136677837319,1389.3422343638993,1389.4138218090156,1388.7430905010897,1388.0842016327251,1390.1133283521888,1386.1136865325848,1386.6379008524661,1389.7694128757062,1387.54657154263,1390.7902983631614,1387.3796717049518,1386.5377136517861,1386.490458473613,1387.2165931877691,1387.0394551633383,1387.9492037187104,1390.8893945812083,1387.6887864216042,1390.7198030900354,1384.4513731882807,1386.5066744409314,1388.0249429679532,1385.0092884226779,1387.132775432209,1385.7242850333166,1385.9524945985374,1385.5536571017797,1384.7634538576247,1387.5889532633514,1385.7159764109615,1379.7374764605088,1387.985026788787,1388.655211912319,1388.3279247517585,1384.4248011036095,1385.523670714023,1387.3943733941398,1384.3130334927093,1383.1992390270068,1388.8697353374614,1389.2158526892251,1386.7509579901307,1387.1667168363133,1385.4009064763682,1383.3654849715253,1389.0569137766647,1387.897422039185,1386.1417358794035,1385.5478126772496,1385.12626205618,1389.4991172984703,1386.1615658985106,1391.9286731401935,1387.8190516354462,1385.8540010391152,1386.3905958047474,1388.5082756709762,1382.7777116976144,1386.5751277901365,1388.5498940690643,1387.164064669292,1386.947727970257,1387.794991377077,1386.2653223580542,1386.715924867146,1388.5076235955714,1386.18233216049,1386.5874877723834,1385.1795699003055,1384.4315455824494,1387.517031568341,1385.185362300445,1385.6855553591397,1388.7293294455542,1389.09754731005,1392.088766640073,1385.6799414313039,1382.6003303392158,1384.7137006649514,1387.0882254084454,1385.3225120242034,1383.7108528062545,1388.261357168721,1382.3331992663989,1387.000975196713,1384.3934921643588,1385.7494921025338,1386.0154734713606,1387.381484085032,1390.1229932587314,1384.1813460030871,1390.1698975789723,1390.2846887370356,1388.832527338823,1382.2629129687175
0,4,1388.1296812672813,1384.810249407297,1386.462278295916,1386.9356520066565,1388.734119222258,1391.260434517181,1388.6843658061132,1385.2022193980847,1385.2613271533694,1385.7154024644597,1385.3799761350367,1387.8940490964649,1385.8485229518226,1388.7611447786808,1384.1107338456472,1384.4699960539074,1386.1926788569037,1386.8383569999585,1386.2801779145675,1389.154360335654,1386.7578583887332,1385.9273097544437,1387.4094679208517,1387.688265434902,1384.0233146616863,1389.3071140002942,1387.5971795824091,1386.916751129946,1390.1157736879977,1386.8010410037216,1386.6666889813125,1384.7271961985607,1387.5993159024008,1387.6217110800649,1386.647108920263,1381.2541045076837,1387.6417240700262,1383.4688750653318,1387.5720471795373,1387.8083345761763,1383.519108715441,1387.4310013874574,1385.8323127299664,1385.554679334765,1386.3985039051538,1388.316986393762,1386.7748846165007,1388.4183649725135,1388.207461637644,1388.1306438183924,1386.9422977422532,1387.3143404961497,1386.115712456397,1386.773053989776,1386.4133976987137,1386.0371293132978,1388.8067086278397,1387.8201514612438,1386.0093412404299,1388.345233966285,1388.3222501215982,1389.0258448012673,1386.181525927199,1387.5548111423707,1388.782990866499,1387.0553009957005,1386.6298750669341,1387.5612767725775,1387.6592795192446,1388.8844023062616,1386.942670449241,1386.4624091701296,1386.0547811022993,1386.9406393375018,1386.6475853786612,1388.212213559839,1387.0329318245408,1387.6553063541892,1386.4710289992724,1383.1162488149782,1385.8952927784412,1391.2084322015671,1388.1357580504568,1385.8777083129808,1386.526196574817,1389.9720882958923,1386.3522821814072,1385.629020468212,1390.5663196239864,1386.9377366080246,1387.8325165201722,1387.216816428326,1385.2351337603793,1389.1884042386118,1387.5582828365,1387.451415896857,1385.0982980389574,1382.9048687822708,1386.355353422455,1386.960727183095,1387.7031610157699,1391.3677999265062,1390.2446969229588,1389.4738254073736,1387.5257464115707,1384.4839348065784,1385.9361617893678,1386.410088655606,1389.978673960334,1388.9093010928977,1386.861774637398,1387.9114143302602,1389.9352492708504,1388.5760537071774,1385.792893175726,1387.3423393987334,1388.788649520479,1387.2832874719193,1388.2808477569997,1387.4467365429489,1385.42175924601,1387.6114897548189,1385.7423236061647,1386.035092166402,1388.917210888487,1387.6652675951989,1383.6740733806464,1385.9039781691936,1387.8203658850111,1387.1000321317006,1383.0772693635513,1385.00642951569,1383.722445414914,1389.2038321616283,1387.95618927529,1385.9231161980174,1386.9427005451091,1388.0369343120344,1387.2638953888436,1386.9748951858396,1390.380451021078,1389.4872956377178,1389.1777791741538,1384.9025398069816
0,5,1388.1296812672813,1384.810249407297,1386.4622782959163,1386.9356520066563,1388.7341192222582,1391.2604345171808,1388.6843658061134,1385.2022193980847,1385.2613271533692,1385.7154024644597,1385.3799761350367,1387.8940490964649,1385.8485229518224,1388.761144778681,1384.1107338456475,1384.4699960539076,1386.192678856904,1386.8383569999585,1386.2801779145673,1389.154360335654,1386.7578583887334,1385.927309754444,1387.409467920852,1387.688265434902,1384.0233146616863,1389.307114000294,1387.597179582409,1386.9167511299459,1390.115773687998,1386.8010410037214,1386.6666889813125,1384.7271961985607,1387.5993159024008,1387.6217110800649,1386.6471089202632,1381.254104507684,1387.6417240700262,1383.468875065332,1387.5720471795373,1387.8083345761765,1383.519108715441,1387.4310013874572,1385.8323127299664,1385.554679334765,1386.3985039051536,1388.316986393762,1386.7748846165005,1388.4183649725135,1388.207461637644,1388.1306438183924,1386.9422977422532,1387.31434049615,1386.1157124563974,1386.7730539897757,1386.4133976987137,1386.0371293132978,1388.80670862784,1387.820151461244,1386.0093412404299,1388.345233966285,1388.3222501215982,1389.0258448012673,1386.181525927199,1387.554811142371,1388.782990866499,1387.0553009957005,1386.6298750669341,1387.5612767725777,1387.6592795192444,1388.8844023062616,1386.942670449241,1386.4624091701298,1386.0547811022993,1386.9406393375016,1386.6475853786612,1388.212213559839,1387.0329318245406,1387.6553063541894,1386.4710289992727,1383.1162488149782,1385.8952927784412,1391.2084322015671,1388.135758050457,1385.8777083129808,1386.5261965748168,1389.9720882958923,1386.3522821814074,1385.629020468212,1390.5663196239864,1386.9377366080244,1387.8325165201722,1387.2168164283262,1385.2351337603798,1389.1884042386116,1387.5582828365002,1387.4514158968568,1385.0982980389576,1382.904868782271,1386.3553534224548,1386.9607271830953,1387.70316101577,1391.3677999265064,1390.2446969229588,1389.4738254073734,1387.525746411571,1384.4839348065784,1385.9361617893683,1386.4100886556057,1389.978673960334,1388.9093010928977,1386.8617746373977,1387.9114143302602,1389.9352492708501,1388.5760537071774,1385.7928931757262,1387.3423393987334,1388.788649520479,1387.2832874719193,1388.2808477569997,1387.446736542949,1385.4217592460097,1387.6114897548189,1385.7423236061643,1386.035092166402,1388.9172108884873,1387.665267595199,1383.6740733806466,1385.9039781691936,1387.8203658850111,1387.1000321317006,1383.0772693635513,1385.00642951569,1383.722445414914,1389.203832161628,1387.9561892752902,1385.9231161980176,1386.9427005451091,1388.0369343120344,1387.2638953888434,1386.9748951858398,1390.380451021078,1389.4872956377178,1389.1777791741536,1384.9025398069816
0,6,1389.8440588124702,1385.5361816373409,1385.3724511868609,1386.8222881160132,1387.0655266552242,1389.1574559265541,1385.5966125419918,1384.9226361105405,1388.1259884687315,1386.0403530919732,1385.6393656955215,1388.58908594394,1385.6643180033482,1389.1613231146302,1387.3946243632977,1385.335519384396,1386.3720794128699,1386.1933359503807,1387.6547023925107,1386.1918721832171,1386.8171494529824,1388.3136350636025,1386.6185174472064,1385.8540340762338,1386.5064081339447,1386.8030716982414,1386.3298656221086,1388.5002642536663,1389.4663381595994,1384.7385161750458,1386.5666386975297,1387.0922699750834,1387.308886173691,1388.2838484780882,1385.6903047440483,1383.0841038474953,1387.1175506078757,1385.4096433558007,1388.3924307273385,1388.0239209344918,1385.5157736554781,1388.0419286682966,1388.889240439369,1385.153601230367,1389.6275068648888,1388.4440720721436,1387.8269809355227,1389.8351558408663,1386.2476235283434,1387.0742737863286,1387.6770717663987,1386.2297496080096,1384.7033382552574,1387.3028945838696,1385.3162479753564,1386.506799836205,1387.6262658348787,1386.885952313988,1385.5880413380946,1387.4551414444807,1388.1307463531361,1388.3429740027511,1385.7370402054273,1386.370948122698,1385.962884289758,1388.2475176113724,1387.6320983710234,1387.9022548218254,1388.5842545375738,1387.5519403577098,1386.3763193474033,1385.8503769661436,1385.4394881890387,1387.2135721943207,1387.3181160170736,1387.5473573182892,1387.551214680072,1386.8466121587162,1388.20070666496,1385.3609574310663,1386.2966030635444,1387.7727610160657,1387.7344805188056,1386.6290468125164,1387.0395624613277,1386.0939629272962,1386.945229462177,1386.253110002186,1387.9027905392566,1387.0589701605975,1387.8525363536814,1386.7755310194732,1385.5530293411123,1385.6015272861978,1386.8846212555243,1386.8678176162907,1387.1073577182585,1384.7017603388238,1386.2042623107716,1386.2150009269117,1388.2539892258576,1388.9420968928862,1386.114986632592,1387.4724378611754,1385.7836541122947,1386.0465544266629,1387.1758069554862,1388.2696499005012,1389.2436742112357,1388.2113779234699,1386.2622638627674,1387.530784054041,1388.0569641300647,1388.5693222238515,1385.008823307542,1385.8756633218468,1389.622164869348,1386.592132519813,1388.6238202019977,1387.0617069462003,1388.1635414274099,1388.0918791374472,1387.530465379798,1386.2360628220783,1389.1768722844408,1386.8721316826166,1386.276885845788,1385.1130527842795,1388.1974864591025,1387.5100240391466,1385.6303534439419,1385.046215371972,1388.2322504313731,1386.091955702431,1388.1193723330794,1389.0428272143176,1386.8192906179438,1388.3047087459097,1389.5069592860239,1387.3303220352243,1388.366806734091,1389.797769986495,1387.9114932489747,1385.8454714385166
0,7,1389.8440588124702,1385.5361816373406,1385.3724511868609,1386.8222881160132,1387.0655266552242,1389.1574559265541,1385.5966125419918,1384.9226361105405,1388.1259884687315,1386.0403530919732,1385.6393656955213,1388.58908594394,1385.6643180033482,1389.1613231146305,1387.3946243632977,1385.3355193843963,1386.3720794128697,1386.1933359503807,1387.654702392511,1386.1918721832174,1386.8171494529824,1388.3136350636023,1386.6185174472064,1385.854034076234,1386.5064081339447,1386.8030716982412,1386.3298656221086,1388.5002642536663,1389.4663381595992,1384.7385161750458,1386.5666386975297,1387.0922699750834,1387.308886173691,1388.2838484780882,1385.6903047440485,1383.0841038474957,1387.117550607876,1385.4096433558007,1388.3924307273387,1388.0239209344918,1385.5157736554781,1388.0419286682968,1388.8892404393691,1385.153601230367,1389.6275068648888,1388.4440720721434,1387.8269809355227,1389.835155840866,1386.2476235283434,1387.0742737863286,1387.677071766399,1386.2297496080096,1384.7033382552574,1387.3028945838698,1385.3162479753564,1386.5067998362047,1387.6262658348787,1386.885952313988,1385.5880413380946,1387.4551414444807,1388.1307463531364,1388.3429740027511,1385.7370402054275,1386.370948122698,1385.962884289758,1388.2475176113724,1387.6320983710236,1387.9022548218256,1388.5842545375738,1387.5519403577098,1386.376319347403,1385.8503769661434,1385.439488189039,1387.2135721943207,1387.3181160170739,1387.5473573182892,1387.5512146800718,1386.846612158716,1388.20070666496,1385.360957431066,1386.2966030635446,1387.7727610160655,1387.7344805188056,1386.6290468125164,1387.0395624613273,1386.093962927296,1386.9452294621767,1386.2531100021863,1387.9027905392563,1387.0589701605973,1387.8525363536814,1386.775531019473,1385.553029341112,1385.6015272861978,1386.8846212555243,1386.8678176162907,1387.1073577182588,1384.7017603388235,1386.2042623107716,1386.2150009269114,1388.2539892258576,1388.9420968928862,1386.114986632592,1387.4724378611754,1385.783654112295,1386.0465544266629,1387.175806955486,1388.2696499005012,1389.2436742112359,1388.21137792347,1386.2622638627674,1387.530784054041,1388.056964130065,1388.5693222238515,1385.0088233075421,1385.8756633218466,1389.6221648693477,1386.592132519813,1388.6238202019974,1387.0617069462003,1388.16354142741,1388.0918791374472,1387.5304653797982,1386.2360628220786,1389.1768722844404,1386.8721316826168,1386.2768858457882,1385.1130527842795,1388.1974864591025,1387.5100240391466,1385.630353443942,1385.0462153719716,1388.232250431373,1386.0919557024308,1388.1193723330796,1389.0428272143179,1386.819290617944,1388.3047087459097,1389.506959286024,1387.3303220352243,1388.366806734091,1389.7977699864948,1387.9114932489747,1385.8454714385164
0,8,1388.8444291064418,1385.8660069860075,1386.7160935732777,1386.0879279622918,1387.3689719937709,1389.4027383067023,1384.7720236758278,1386.4642531942693,1387.9266454503152,1386.4645073194736,1385.4179050213454,1387.4545249534756,1387.1330892065878,1389.6666197589034,1386.2963574818793,1386.3158350766612,1386.3841675132264,1386.5451575443205,1387.2941951200125,1387.437894181438,1387.2574284908067,1389.1870475228704,1385.821604168791,1386.3458097813968,1385.5079731488247,1387.176333446726,1386.79571643165,1387.2600041496125,1389.406003146887,1385.7476874310128,1385.4553149097428,1386.6924443598798,1386.9933465964982,1387.2682051966283,1386.4593253443845,1386.1537635195612,1387.1465421728901,1386.0754991293081,1388.1371444973424,1388.7646936438318,1386.2329591609525,1388.4309867926675,1387.0369157978434,1384.5318834541233,1388.6662757701906,1388.4856820635653,1386.708691336857,1388.3302864665711,1387.0686683010013,1387.6087077586346,1389.3487422393387,1386.240522706669,1387.6628043561107,1387.2216346592827,1386.7400099741883,1386.6213454068256,1387.1340652842343,1386.1888556546096,1386.0613140762125,1387.4706562834301,1388.8068946999879,1386.9169168827777,1386.155980885289,1387.6124576389682,1385.6712749248275,1387.057490202282,1387.4516095978047,1387.5705068225914,1387.5221116417194,1387.239491399037,1385.6305792500789,1384.6559742793438,1385.4975554413913,1386.9564546271995,1387.8975775085332,1385.973500907887,1386.92463518046,1387.124192273772,1388.4724167152833,1385.2156250012,1386.4092134745035,1388.4240657844282,1385.9272684912,1386.5348691491615,1388.6694379958265,1386.8829096555996,1388.563800717738,1387.3039715828625,1387.5117946866585,1386.880049814323,1386.7531550328313,1386.3040463611721,1384.8769774011216,1387.0520813721628,1387.0711779376686,1387.1075053997952,1385.9229352412692,1386.0078486205693,1387.342554439777,1387.4695769157404,1386.8900726170436,1387.9730190779123,1387.0474817980758,1387.6301984329486,1387.243533084583,1385.1416920995314,1386.050799512189,1387.9532667548913,1386.705385303309,1387.3271747674708,1387.8955781323828,1387.0394564322316,1388.1468892697765,1388.4015852665173,1385.7274629176777,1387.140990461552,1387.6973832616281,1387.3963190252937,1387.75200714785,1389.7883024640782,1385.9814433223733,1387.996923289972,1386.0638246360384,1386.0052648577378,1387.2429558536346,1386.8066363258322,1386.6889006336667,1387.1219423602322,1387.9546233315211,1388.466419606358,1386.177362798987,1386.261321335119,1387.0622960642,1385.9955304013324,1387.77040293354,1388.528490623177,1386.5302069259621,1387.3007935330795,1387.5135686385913,1386.0410315855916,1388.6036124318005,1389.5583572665403,1388.858655088365,1386.9843637136219
0,9,1388.8444291064418,1385.8660069860075,1386.7160935732777,1386.0879279622918,1387.3689719937706,1389.402738306702,1384.772023675828,1386.4642531942693,1387.9266454503154,1386.4645073194738,1385.4179050213454,1387.4545249534754,1387.1330892065876,1389.6666197589032,1386.296357481879,1386.3158350766612,1386.3841675132264,1386.5451575443205,1387.2941951200125,1387.437894181438,1387.257428490807,1389.1870475228704,1385.8216041687913,1386.3458097813966,1385.5079731488247,1387.1763334467262,1386.7957164316501,1387.2600041496125,1389.4060031468869,1385.7476874310128,1385.4553149097426,1386.6924443598798,1386.9933465964984,1387.268205196628,1386.4593253443845,1386.153763519561,1387.14654217289,1386.0754991293081,1388.1371444973422,1388.764693643832,1386.2329591609525,1388.4309867926675,1387.0369157978437,1384.5318834541233,1388.6662757701904,1388.4856820635653,1386.708691336857,1388.330286466571,1387.0686683010013,1387.6087077586349,1389.348742239339,1386.2405227066688,1387.6628043561109,1387.2216346592827,1386.7400099741883,1386.6213454068256,1387.1340652842343,1386.1888556546094,1386.0613140762127,1387.47065628343,1388.8068946999879,1386.9169168827775,1386.1559808852892,1387.6124576389682,1385.6712749248277,1387.0574902022822,1387.451609597805,1387.5705068225916,1387.5221116417194,1387.2394913990368,1385.6305792500793,1384.6559742793443,1385.4975554413913,1386.9564546271995,1387.8975775085332,1385.9735009078868,1386.92463518046,1387.124192273772,1388.4724167152833,1385.2156250012,1386.4092134745038,1388.4240657844284,1385.9272684912,1386.5348691491615,1388.6694379958262,1386.8829096555999,1388.5638007177383,1387.303971582862,1387.511794686658,1386.8800498143228,1386.7531550328313,1386.3040463611721,1384.8769774011214,1387.0520813721628,1387.0711779376682,1387.1075053997954,1385.9229352412692,1386.0078486205696,1387.3425544397771,1387.4695769157402,1386.8900726170436,1387.973019077912,1387.047481798076,1387.6301984329489,1387.2435330845829,1385.1416920995312,1386.0507995121889,1387.9532667548915,1386.7053853033087,1387.3271747674708,1387.8955781323828,1387.0394564322319,1388.1468892697767,1388.4015852665175,1385.7274629176777,1387.1409904615518,1387.6973832616284,1387.3963190252935,1387.7520071478502,1389.7883024640782,1385.9814433223733,1387.9969232899723,1386.0638246360386,1386.0052648577378,1387.242955853635,1386.806636325832,1386.6889006336664,1387.1219423602322,1387.9546233315211,1388.4664196063577,1386.1773627989867,1386.2613213351192,1387.0622960642,1385.9955304013322,1387.7704029335398,1388.5284906231766,1386.5302069259624,1387.3007935330795,1387.5135686385913,1386.0410315855916,1388.6036124318007,1389.5583572665405,1388.8586550883651,1386.9843637136219
