Iteration,Mean,Stdev,Run-0
0,0.018,0.0,0.018
1,1.773,0.0,1.773
2,2.208,0.0,2.208
3,2.394,0.0,2.394
4,2.337,0.0,2.337
5,2.308,0.0,2.308
6,2.277,0.0,2.277
7,2.219,0.0,2.219
8,2.179,0.0,2.179
9,2.151,0.0,2.151
10,2.103,0.0,2.103
11,2.052,0.0,2.052
12,2.044,0.0,2.044
13,2.012,0.0,2.012
14,1.979,0.0,1.979
15,1.977,0.0,1.977
16,1.95,0.0,1.95
17,1.946,0.0,1.946
18,1.94,0.0,1.94
19,1.934,0.0,1.934
20,1.92,0.0,1.92
21,1.912,0.0,1.912
22,1.903,0.0,1.903
23,1.891,0.0,1.891
24,1.895,0.0,1.895
25,1.889,0.0,1.889
26,1.89,0.0,1.89
27,1.881,0.0,1.881
28,1.883,0.0,1.883
29,1.884,0.0,1.884
