Iteration,Mean,Stdev,Run-0
0,0.105,0.0,0.105
1,1.483,0.0,1.483
2,1.704,0.0,1.704
3,1.802,0.0,1.802
4,1.936,0.0,1.936
5,2.026,0.0,2.026
6,2.026,0.0,2.026
7,2.076,0.0,2.076
8,2.076,0.0,2.076
9,2.09,0.0,2.09
10,2.09,0.0,2.09
11,2.1,0.0,2.1
12,2.1,0.0,2.1
13,2.129,0.0,2.129
14,2.129,0.0,2.129
15,2.074,0.0,2.074
16,2.074,0.0,2.074
17,2.068,0.0,2.068
18,2.068,0.0,2.068
19,2.068,0.0,2.068
20,2.068,0.0,2.068
21,2.059,0.0,2.059
22,2.059,0.0,2.059
23,2.056,0.0,2.056
24,2.056,0.0,2.056
25,2.03,0.0,2.03
26,2.03,0.0,2.03
27,2.035,0.0,2.035
28,2.035,0.0,2.035
29,2.029,0.0,2.029
