Iteration,Mean,Stdev,Run-0
0,0.039,0.0,0.039
1,1.685,0.0,1.685
2,2.042,0.0,2.042
3,2.068,0.0,2.068
4,2.125,0.0,2.125
5,2.189,0.0,2.189
6,2.212,0.0,2.212
7,2.293,0.0,2.293
8,2.257,0.0,2.257
9,2.283,0.0,2.283
10,2.271,0.0,2.271
11,2.272,0.0,2.272
12,2.269,0.0,2.269
13,2.256,0.0,2.256
14,2.25,0.0,2.25
15,2.256,0.0,2.256
16,2.254,0.0,2.254
17,2.267,0.0,2.267
18,2.253,0.0,2.253
19,2.243,0.0,2.243
20,2.248,0.0,2.248
21,2.246,0.0,2.246
22,2.245,0.0,2.245
23,2.24,0.0,2.24
24,2.246,0.0,2.246
25,2.248,0.0,2.248
26,2.237,0.0,2.237
27,2.229,0.0,2.229
28,2.224,0.0,2.224
29,2.225,0.0,2.225
