Iteration,Mean,Stdev,Run-0
0,0.18,0.0,0.18
1,1.774,0.0,1.774
2,2.331,0.0,2.331
3,2.455,0.0,2.455
4,2.579,0.0,2.579
5,2.608,0.0,2.608
6,2.674,0.0,2.674
7,2.675,0.0,2.675
8,2.724,0.0,2.724
9,2.742,0.0,2.742
10,2.745,0.0,2.745
11,2.76,0.0,2.76
12,2.774,0.0,2.774
13,2.755,0.0,2.755
14,2.753,0.0,2.753
15,2.756,0.0,2.756
16,2.755,0.0,2.755
17,2.756,0.0,2.756
18,2.76,0.0,2.76
19,2.763,0.0,2.763
20,2.762,0.0,2.762
21,2.761,0.0,2.761
22,2.761,0.0,2.761
23,2.608,0.0,2.608
24,2.622,0.0,2.622
25,2.616,0.0,2.616
26,2.67,0.0,2.67
27,2.685,0.0,2.685
28,2.688,0.0,2.688
29,2.708,0.0,2.708
30,2.701,0.0,2.701
31,2.696,0.0,2.696
32,2.713,0.0,2.713
33,2.723,0.0,2.723
34,2.721,0.0,2.721
35,2.721,0.0,2.721
36,2.718,0.0,2.718
37,2.726,0.0,2.726
38,2.731,0.0,2.731
39,2.731,0.0,2.731
40,2.731,0.0,2.731
41,2.731,0.0,2.731
42,2.731,0.0,2.731
43,2.731,0.0,2.731
44,2.731,0.0,2.731
45,2.731,0.0,2.731
46,2.731,0.0,2.731
47,2.731,0.0,2.731
48,2.731,0.0,2.731
49,2.731,0.0,2.731
