Iteration,Mean,Stdev,Run-0
0,0.18,0.0,0.18
1,1.774,0.0,1.774
2,2.331,0.0,2.331
3,2.455,0.0,2.455
4,2.455,0.0,2.455
5,2.52,0.0,2.52
6,2.472,0.0,2.472
7,2.472,0.0,2.472
8,2.512,0.0,2.512
9,2.492,0.0,2.492
10,2.492,0.0,2.492
11,2.505,0.0,2.505
12,2.534,0.0,2.534
13,2.534,0.0,2.534
14,2.572,0.0,2.572
15,2.614,0.0,2.614
16,2.614,0.0,2.614
17,2.637,0.0,2.637
18,2.634,0.0,2.634
19,2.634,0.0,2.634
20,2.652,0.0,2.652
21,2.648,0.0,2.648
22,2.648,0.0,2.648
23,2.653,0.0,2.653
24,2.651,0.0,2.651
25,2.651,0.0,2.651
26,2.65,0.0,2.65
27,2.657,0.0,2.657
28,2.657,0.0,2.657
29,2.662,0.0,2.662
