Iteration,Mean,Stdev,Run-0
0,0.041,0.0,0.041
1,1.685,0.0,1.685
2,1.96,0.0,1.96
3,2.054,0.0,2.054
4,2.121,0.0,2.121
5,2.176,0.0,2.176
6,2.158,0.0,2.158
7,2.104,0.0,2.104
8,2.059,0.0,2.059
9,2.02,0.0,2.02
10,1.99,0.0,1.99
11,1.962,0.0,1.962
12,1.962,0.0,1.962
13,1.945,0.0,1.945
14,1.943,0.0,1.943
15,1.906,0.0,1.906
16,1.908,0.0,1.908
17,1.882,0.0,1.882
18,1.888,0.0,1.888
19,1.872,0.0,1.872
20,1.876,0.0,1.876
21,1.859,0.0,1.859
22,1.864,0.0,1.864
23,1.861,0.0,1.861
24,1.841,0.0,1.841
25,1.834,0.0,1.834
26,1.82,0.0,1.82
27,1.824,0.0,1.824
28,1.815,0.0,1.815
29,1.815,0.0,1.815
30,1.809,0.0,1.809
31,1.809,0.0,1.809
32,1.815,0.0,1.815
33,1.809,0.0,1.809
34,1.807,0.0,1.807
35,1.808,0.0,1.808
36,1.804,0.0,1.804
37,1.804,0.0,1.804
38,1.804,0.0,1.804
39,1.804,0.0,1.804
40,1.804,0.0,1.804
41,1.804,0.0,1.804
42,1.804,0.0,1.804
43,1.804,0.0,1.804
44,1.804,0.0,1.804
45,1.804,0.0,1.804
46,1.804,0.0,1.804
47,1.804,0.0,1.804
48,1.804,0.0,1.804
49,1.804,0.0,1.804
