Iteration,Mean,Stdev,Run-0
0,2656.466039218695,0.0,2656.466039218695
1,21.170833801726964,0.0,21.170833801726964
2,9.222176425602544,0.0,9.222176425602544
3,3.6575497418909286,0.0,3.6575497418909286
4,2.0539141050581637,0.0,2.0539141050581637
5,1.3792752728989082,0.0,1.3792752728989082
6,0.9808341711751671,0.0,0.9808341711751671
7,0.8208177202808323,0.0,0.8208177202808323
8,0.7614614037311574,0.0,0.7614614037311574
9,0.7044745539976279,0.0,0.7044745539976279
10,0.6686432088691542,0.0,0.6686432088691542
11,0.640177412470176,0.0,0.640177412470176
12,0.6220515281368144,0.0,0.6220515281368144
13,0.6163489253590179,0.0,0.6163489253590179
14,0.6150250616662156,0.0,0.6150250616662156
15,0.6150250616662156,0.0,0.6150250616662156
16,1.3792752728988997,0.0,1.3792752728988997
17,1.0396462722335413,0.0,1.0396462722335413
18,0.8693403425243914,0.0,0.8693403425243914
19,0.7535156381861894,0.0,0.7535156381861894
20,0.6925651499216997,0.0,0.6925651499216997
21,0.6532273478885746,0.0,0.6532273478885746
22,0.6285707008692805,0.0,0.6285707008692805
23,0.6069782619727223,0.0,0.6069782619727223
24,0.597565706779289,0.0,0.597565706779289
25,0.5878084820270502,0.0,0.5878084820270502
26,0.5844513512053151,0.0,0.5844513512053151
27,0.5829079190083852,0.0,0.5829079190083852
28,0.5693410556752425,0.0,0.5693410556752425
29,0.5674929480868325,0.0,0.5674929480868325
