Iteration,Run-0
0,0.0
1,0.0
2,0.0
3,0.0
4,1.0
5,1.0
6,2.0
7,2.0
8,3.0
9,3.0
10,4.0
11,4.0
12,5.0
13,5.0
14,6.0
15,6.0
16,7.0
17,7.0
18,8.0
19,8.0
20,9.0
21,9.0
22,10.0
23,10.0
24,11.0
25,11.0
26,12.0
27,12.0
28,12.0
29,12.0
