Iteration,Mean,Stdev,Run-0
0,0.045,0.0,0.045
1,1.462,0.0,1.462
2,1.773,0.0,1.773
3,2.148,0.0,2.148
4,2.298,0.0,2.298
5,2.298,0.0,2.298
6,2.335,0.0,2.335
7,2.335,0.0,2.335
8,2.351,0.0,2.351
9,2.351,0.0,2.351
10,2.371,0.0,2.371
11,2.371,0.0,2.371
12,2.392,0.0,2.392
13,2.392,0.0,2.392
14,2.37,0.0,2.37
15,2.37,0.0,2.37
16,2.38,0.0,2.38
17,2.38,0.0,2.38
18,2.376,0.0,2.376
19,2.376,0.0,2.376
20,2.37,0.0,2.37
21,2.37,0.0,2.37
22,2.38,0.0,2.38
23,2.38,0.0,2.38
24,2.362,0.0,2.362
25,2.362,0.0,2.362
26,2.34,0.0,2.34
27,2.34,0.0,2.34
28,2.354,0.0,2.354
29,2.354,0.0,2.354
30,2.346,0.0,2.346
31,2.346,0.0,2.346
32,2.323,0.0,2.323
33,2.323,0.0,2.323
34,2.326,0.0,2.326
35,2.326,0.0,2.326
36,2.328,0.0,2.328
37,2.328,0.0,2.328
38,2.316,0.0,2.316
39,2.316,0.0,2.316
40,2.313,0.0,2.313
41,2.313,0.0,2.313
42,2.316,0.0,2.316
43,2.316,0.0,2.316
44,2.326,0.0,2.326
45,2.326,0.0,2.326
46,2.322,0.0,2.322
47,2.322,0.0,2.322
48,2.324,0.0,2.324
49,2.324,0.0,2.324
