Iteration,Mean,Stdev,Run-0
0,0.018,0.0,0.018
1,1.773,0.0,1.773
2,2.208,0.0,2.208
3,2.394,0.0,2.394
4,2.394,0.0,2.394
5,2.379,0.0,2.379
6,2.368,0.0,2.368
7,2.368,0.0,2.368
8,2.333,0.0,2.333
9,2.298,0.0,2.298
10,2.298,0.0,2.298
11,2.286,0.0,2.286
12,2.238,0.0,2.238
13,2.238,0.0,2.238
14,2.18,0.0,2.18
15,2.142,0.0,2.142
16,2.142,0.0,2.142
17,2.104,0.0,2.104
18,2.061,0.0,2.061
19,2.061,0.0,2.061
20,2.036,0.0,2.036
21,2.012,0.0,2.012
22,2.012,0.0,2.012
23,1.974,0.0,1.974
24,1.96,0.0,1.96
25,1.96,0.0,1.96
26,1.919,0.0,1.919
27,1.91,0.0,1.91
28,1.91,0.0,1.91
29,1.887,0.0,1.887
