Plan ID,Plan Scores,Run-0
0,1.0,101
1,0.006944444444444444,294
2,0.006944444444444444,279
3,0.006944444444444444,293
4,0.06666666666666667,7
5,0.06666666666666667,3
6,0.06666666666666667,5
7,0.03333333333333333,11
8,0.03333333333333333,5
9,0.03333333333333333,2
