Plan ID,Plan Scores,Run-0
0,1.0,22
1,0.006944444444444444,289
2,0.006944444444444444,264
3,0.006944444444444444,281
4,0.06666666666666667,23
5,0.06666666666666667,22
6,0.06666666666666667,25
7,0.03333333333333333,23
8,0.03333333333333333,27
9,0.03333333333333333,24
