Iteration,Mean,Stdev,Run-0
0,1166.7931448828454,0.0,1166.7931448828454
1,33.01875596625376,0.0,33.01875596625376
2,4.826262209751954,0.0,4.826262209751954
3,2.793749747629308,0.0,2.793749747629308
4,2.035155430556906,0.0,2.035155430556906
5,1.7945221195724539,0.0,1.7945221195724539
6,1.6190834642760346,0.0,1.6190834642760346
7,1.5426876752074892,0.0,1.5426876752074892
8,1.4460664026531302,0.0,1.4460664026531302
9,1.4049370206417884,0.0,1.4049370206417884
10,1.3703835536668127,0.0,1.3703835536668127
11,1.3476090221880845,0.0,1.3476090221880845
12,1.3239271285003151,0.0,1.3239271285003151
13,1.304053681633892,0.0,1.304053681633892
14,1.2895380733946655,0.0,1.2895380733946655
15,1.2721787383581724,0.0,1.2721787383581724
16,1.2617076848555073,0.0,1.2617076848555073
17,1.2529269338758042,0.0,1.2529269338758042
18,1.2392743751072846,0.0,1.2392743751072846
19,1.2311572678142109,0.0,1.2311572678142109
20,1.2237204634925678,0.0,1.2237204634925678
21,1.2189237849813024,0.0,1.2189237849813024
22,1.2126290477264077,0.0,1.2126290477264077
23,1.2070972675746536,0.0,1.2070972675746536
24,1.2035758430582744,0.0,1.2035758430582744
25,1.1997199855697185,0.0,1.1997199855697185
26,1.1948620988151484,0.0,1.1948620988151484
27,1.1918410889972362,0.0,1.1918410889972362
28,1.1898970423919069,0.0,1.1898970423919069
29,1.1851868115778799,0.0,1.1851868115778799
30,1.1815891321780736,0.0,1.1815891321780736
31,1.1755564267349805,0.0,1.1755564267349805
32,1.1737396435762735,0.0,1.1737396435762735
33,1.1718893448293204,0.0,1.1718893448293204
34,1.1682169379304885,0.0,1.1682169379304885
35,1.1634825319752622,0.0,1.1634825319752622
36,1.1624883883056338,0.0,1.1624883883056338
37,1.162324164234116,0.0,1.162324164234116
38,1.1618904872580154,0.0,1.1618904872580154
39,1.1618904872580154,0.0,1.1618904872580154
40,1.7945221195724632,0.0,1.7945221195724632
41,1.663840342152402,0.0,1.663840342152402
42,1.547590114041494,0.0,1.547590114041494
43,1.4631233748982408,0.0,1.4631233748982408
44,1.4221295052154832,0.0,1.4221295052154832
45,1.3837538370160474,0.0,1.3837538370160474
46,1.3545231577064476,0.0,1.3545231577064476
47,1.3319958021704457,0.0,1.3319958021704457
48,1.3074805297823344,0.0,1.3074805297823344
49,1.289965309159761,0.0,1.289965309159761
